
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-07-01 12:25:35 /api/notifications ................................................................... ~ 4.22ms
  2026-07-01 12:25:35 /api/chat/unread-summary ............................................................. ~ 5.88ms
  2026-07-01 12:25:43 /api/leave-requests ................................................................ ~ 502.59ms
  2026-07-01 12:25:43 /api/attendance-time-edit-requests ................................................. ~ 505.85ms
  2026-07-01 12:25:43 /api/notifications ................................................................. ~ 506.97ms
  2026-07-01 12:25:43 /api/chat/unread-summary ............................................................. ~ 3.33ms
  2026-07-01 12:25:51 /api/leave-requests .................................................................. ~ 0.38ms
  2026-07-01 12:25:51 /api/attendance-time-edit-requests ................................................... ~ 2.00ms
  2026-07-01 12:25:51 /api/notifications ................................................................. ~ 511.93ms
  2026-07-01 12:25:51 /api/chat/unread-summary ........................................................... ~ 511.84ms
  2026-07-01 12:25:59 /api/leave-requests .................................................................. ~ 0.34ms
  2026-07-01 12:25:59 /api/attendance-time-edit-requests ................................................... ~ 2.01ms
  2026-07-01 12:25:59 /api/notifications ................................................................... ~ 3.18ms
  2026-07-01 12:25:59 /api/chat/unread-summary ............................................................. ~ 4.74ms
  2026-07-01 12:26:07 /api/leave-requests .................................................................. ~ 0.30ms
  2026-07-01 12:26:07 /api/attendance-time-edit-requests ................................................... ~ 2.05ms
  2026-07-01 12:26:07 /api/notifications ................................................................... ~ 1.47ms
  2026-07-01 12:26:08 /api/chat/unread-summary ............................................................. ~ 2.61ms
  2026-07-01 12:26:15 /api/leave-requests ................................................................ ~ 512.86ms
  2026-07-01 12:26:15 /api/attendance-time-edit-requests ................................................... ~ 0.13ms
  2026-07-01 12:26:15 /api/notifications ................................................................... ~ 1.58ms
  2026-07-01 12:26:16 /api/chat/unread-summary ............................................................. ~ 2.21ms
  2026-07-01 12:26:23 /api/leave-requests .................................................................. ~ 0.27ms
  2026-07-01 12:26:23 /api/attendance-time-edit-requests ................................................... ~ 2.03ms
  2026-07-01 12:26:23 /api/notifications ................................................................... ~ 1.82ms
  2026-07-01 12:26:23 /api/chat/unread-summary ............................................................. ~ 2.11ms
  2026-07-01 12:26:31 /api/leave-requests .................................................................. ~ 1.21ms
  2026-07-01 12:26:31 /api/attendance-time-edit-requests ................................................... ~ 0.38ms
  2026-07-01 12:26:31 /api/notifications ................................................................... ~ 2.34ms
  2026-07-01 12:26:31 /api/chat/unread-summary ............................................................. ~ 1.87ms
  2026-07-01 12:26:39 /api/leave-requests .................................................................. ~ 1.13ms
  2026-07-01 12:26:39 /api/attendance-time-edit-requests ................................................... ~ 2.78ms
  2026-07-01 12:26:39 /api/notifications ................................................................... ~ 2.25ms
  2026-07-01 12:26:39 /api/chat/unread-summary ............................................................ ~ 11.23ms
  2026-07-01 12:27:02 /api/leave-requests .................................................................. ~ 0.50ms
  2026-07-01 12:27:02 /api/attendance-time-edit-requests ................................................... ~ 2.40ms
  2026-07-01 12:27:02 /api/notifications ................................................................... ~ 1.25ms
  2026-07-01 12:27:03 /api/chat/unread-summary ............................................................. ~ 1.95ms
  2026-07-01 12:28:02 /api/leave-requests .................................................................. ~ 0.37ms
  2026-07-01 12:28:02 /api/attendance-time-edit-requests ................................................... ~ 0.14ms
  2026-07-01 12:28:02 /api/notifications ................................................................... ~ 1.45ms
  2026-07-01 12:28:02 /api/chat/unread-summary ............................................................. ~ 1.82ms
  2026-07-01 12:29:02 /api/leave-requests ................................................................ ~ 503.99ms
  2026-07-01 12:29:03 /api/attendance-time-edit-requests ................................................... ~ 0.16ms
  2026-07-01 12:29:03 /api/notifications ................................................................... ~ 1.35ms
  2026-07-01 12:29:03 /api/chat/unread-summary ............................................................. ~ 1.60ms
  2026-07-01 12:30:02 /api/leave-requests .................................................................. ~ 0.30ms
  2026-07-01 12:30:02 /api/attendance-time-edit-requests ................................................... ~ 2.58ms
  2026-07-01 12:30:02 /api/notifications ................................................................... ~ 1.73ms
  2026-07-01 12:30:02 /api/chat/unread-summary ............................................................. ~ 1.99ms
  2026-07-01 12:31:02 /api/leave-requests .................................................................. ~ 1.09ms
  2026-07-01 12:31:02 /api/attendance-time-edit-requests ................................................... ~ 3.02ms
  2026-07-01 12:31:02 /api/notifications ................................................................... ~ 4.98ms
  2026-07-01 12:31:02 /api/chat/unread-summary ............................................................. ~ 3.67ms
  2026-07-01 12:32:02 /api/leave-requests .................................................................. ~ 1.07ms
  2026-07-01 12:32:02 /api/attendance-time-edit-requests ................................................... ~ 3.26ms
  2026-07-01 12:32:02 /api/notifications ................................................................... ~ 4.65ms
  2026-07-01 12:32:02 /api/chat/unread-summary ............................................................. ~ 3.05ms
  2026-07-01 12:33:02 /api/leave-requests .................................................................. ~ 0.98ms
  2026-07-01 12:33:02 /api/attendance-time-edit-requests ................................................... ~ 2.68ms
  2026-07-01 12:33:02 /api/notifications ................................................................... ~ 1.70ms
  2026-07-01 12:33:02 /api/chat/unread-summary ............................................................. ~ 2.28ms
  2026-07-01 12:34:02 /api/leave-requests .................................................................. ~ 1.18ms
  2026-07-01 12:34:02 /api/attendance-time-edit-requests ................................................... ~ 3.28ms
  2026-07-01 12:34:02 /api/notifications ................................................................... ~ 1.47ms
  2026-07-01 12:34:02 /api/chat/unread-summary ............................................................. ~ 1.73ms
  2026-07-01 12:35:02 /api/leave-requests .................................................................. ~ 1.14ms
  2026-07-01 12:35:02 /api/attendance-time-edit-requests ................................................... ~ 3.33ms
  2026-07-01 12:35:02 /api/notifications ................................................................... ~ 4.65ms
  2026-07-01 12:35:02 /api/chat/unread-summary ............................................................. ~ 6.13ms
